,id,icij_sar_id,filer_org_name_id,filer_org_name,begin_date,end_date,originator_bank_id,originator_bank,originator_bank_country,originator_iso,beneficiary_bank_id,beneficiary_bank,beneficiary_bank_country,beneficiary_iso,number_transactions,amount_transactions,breakdown
0,236396,3190,jp-morgan-chase-co,JP Morgan Chase & Co.,2007-01-08,2013-01-04,jpmorgan-chase-bank,JPMorgan Chase Bank,United Kingdom,GBR,deutsche-bank-ag-london-branch-gbr,Deutsche Bank AG -- London Branch,United Kingdom,GBR,90.0,1080000000.0,Billions
1,238294,2748,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2011-08-08,2011-08-08,amsterdam-trade-bank-nv,Amsterdam Trade Bank NV,Netherlands,NLD,rosbank-moscow-russia-rus,Rosbank,Russia,RUS,1.0,2721000000.0,Billions
2,223268,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-05-14,2012-05-14,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,skandinaviska-enskilda-banken-stockholm-sweden-swe,Skandinaviska Enskilda Banken,Sweden,SWE,,400.01,Hundreds
3,223283,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-06-29,2012-06-29,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,475.0,Hundreds
4,223286,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-06-20,2012-06-20,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,400.0,Hundreds
5,223287,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-06-20,2012-06-20,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,350.0,Hundreds
6,223288,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-06-20,2012-06-20,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,200.0,Hundreds
7,223289,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-06-20,2012-06-20,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,200.0,Hundreds
8,223290,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-06-20,2012-06-20,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,240.0,Hundreds
9,223291,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-06-20,2012-06-20,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,250.0,Hundreds
10,223293,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-06-20,2012-06-20,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,400.0,Hundreds
11,223294,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-06-11,2012-06-11,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,772.0,Hundreds
12,223295,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-06-11,2012-06-11,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,459.49,Hundreds
13,223296,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-06-11,2012-06-11,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,167.0,Hundreds
14,223298,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-06-08,2012-06-08,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,112.32,Hundreds
15,223299,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-06-08,2012-06-08,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,200.0,Hundreds
16,223300,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-06-08,2012-06-08,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,300.0,Hundreds
17,223301,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-06-08,2012-06-08,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,290.0,Hundreds
18,223303,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-06-08,2012-06-08,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,480.0,Hundreds
19,223304,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-05-30,2012-05-30,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,146.0,Hundreds
20,223305,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-05-29,2012-05-29,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,600.0,Hundreds
21,223306,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-05-29,2012-05-29,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,500.0,Hundreds
22,223307,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-05-29,2012-05-29,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,195.0,Hundreds
23,223309,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,2012-05-21,2012-05-21,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,AUS,,490.0,Hundreds
